成果作者,成果标题
"['孟宪伟', '夏娜', '谭龙飞', '付长慧', '吴琼', '任湘菱']",一种用于微波动力治疗肿瘤的微球及其制备方法和应用
"['周辉', '姜玥', '卢景景', '黄磊', '张传庆', '胡大伟', '高阳', '陈珺']",岩石空心圆柱扭剪仪(工装机)
"['周辉', '陈珺', '卢景景', '张传庆', '胡大伟', '姜玥']",岩石拉压双面剪切试验装置
"['卢景景', '谢业统', '周辉', '张传庆', '胡大伟', '龚春艳', '韩钢']",一种裂隙试样制备方法
"['卢景景', '龚春艳', '周辉', '张传庆', '杨凡杰', '胡大伟', '高阳', '杨艳霜']",实现地质探测的组合式TBM及地质探测掘进方法
"['卢景景', '龚春艳', '周辉', '张传庆', '高阳', '杨凡杰', '朱勇', '杨艳霜']",实现卡机脱困的组合式TBM及卡机脱困掘进方法
"['周辉', '陈珺', '卢景景', '张传庆', '胡大伟', '姜玥']",岩石多功能剪切试验测试装置
"['姜玥', '卢景景', '周辉', '陈珺', '黄磊', '高阳']",可伸缩式围压套筒及岩石力学试验仪器
"['周辉', '姜玥', '卢景景', '黄磊', '张传庆', '胡大伟', '高阳', '陈珺']",岩石空心圆柱扭剪仪
"['龙丹冰', '赵一静', '杨成']",一种以监测数据驱动的综合管廊运维动态风险评价方法
"['龙丹冰', '魏君豪', '杨成']",基于知识图谱的施工行为安全风险分析与危险点识别的方法
"['龙丹冰', '解丽萍', '杨成']",基于熵算法改进的云模型和故障树古建筑风险分析方法
"['方亚鹏', '王晨茜', '孙翠霞']",一种延缓鱼油氧化的乳液及其制备方法
"['方亚鹏', '宋静如', '孙翠霞', '张俊威', '熊哲强']",玉米醇溶蛋白/阿拉伯胶复合纳米颗粒及其制备方法
"['方亚鹏', '王晨茜', '孙翠霞']",一种蛋黄酱类似物及其制备方法
"['付凌雨', '辛芳冉']",基于个体化临床特征构建的评估类风湿性关节炎脑卒中风险的预测模型
"['付凌雨', '李佳慧']",SAA4蛋白作为类风湿关节炎诊断标志物的应用、诊断或辅助诊断试剂盒中的应用
"['崔文韬', '韩贺', '薛鹏', '纪慧中', '熊文硕', '董恩清', '张德敬', '孙祺', '高翔', '常树旺']",一种在类球体区域约束下进行气管壁缺口封堵的肺气道树分割方法
"['董恩清', '薛鹏', '曹海', '傅宇', '纪慧中', '崔文韬']",基于卡尔曼滤波和4D CT图像配准的肺部呼吸运动估计方法
"['董恩清', '金叶', '纪慧中', '倪天骄', '薛鹏', '傅宇', '曹海', '崔文韬']",基于三维深度学习网络预测肺结节良恶性的多病理类型的分类方法
"['董恩清', '亓玉佩', '李宇森', '薛鹏', '纪慧中', '熊文硕']",基于张量稀疏表示的拓扑结构维持的图像配准方法
"['董恩清', '金叶', '纪慧中', '倪天骄', '薛鹏', '傅宇', '曹海', '崔文韬']",基于人工智能融合多模态信息构建肺结节良恶性的多种病理类型的诊断模型
"['董恩清', '李宇森', '亓玉佩', '薛鹏', '纪慧中', '熊文硕']",一种非刚性医学图像配准方法
"['董恩清', '刘肖', '孙文燕', '薛鹏', '纪慧中', '熊文硕']",一种基于窄带约束的几何活动轮廓模型局部分割方法
"['董恩清', '熊文硕', '纪惠中', '金叶', '倪天骄', '薛鹏', '韩贺']",一种基于三维深度学习网络的肺结节良恶性预测方法
"['杨艳霜', '骆顺天', '肖衡林', '胡其志', '马强', '李金兰', '张帆']",一种基于套孔应力解除法测量地应力时的激光定位装置
"['周辉', '龚春艳', '卢景景', '张传庆', '高阳', '杨凡杰', '朱勇', '杨艳霜']",实现岩爆预处理的组合式TBM及岩爆预处理掘进方法
"['宋尔卫', '龚畅', '沈君', '杨雅平', '程子亮', '林婉仪']",乳腺癌新辅助化疗后病理完全缓解概率预测方法及系统
"['龚畅', '杨雅平', '胡越', '林婉仪']",一种预测致密型乳腺的乳腺病灶恶性风险模型及其构建方法
"['龚畅', '刘子豪', '梁格豪']",一种环状RNA全长序列的检测方法
"['龚畅', '谭璐媛']",评估Paget’s 病伴浸润性导管癌患者预后的模型及其应用
"['龚畅', '宋尔卫', '谭维格', '梁格豪', '谢新华']",乳腺癌循环肿瘤细胞miRNA和EMT标记物联合检测试剂盒及其应用
"['龚畅', '宋尔卫', '谭维格']",一种预测ER+乳腺癌新辅助化疗效果的试剂盒和系统
"['周佩剑', '吴振兴', '牟介刚', '简捷', '郑水华', '谷云庆', '吴登昊']",高抗汽蚀的自吸离心泵
"['周佩剑', '刘涛', '牟介刚']",一种抑制离心泵叶轮入口回流涡的机构
"['周佩剑', '刘诺佳', '牟介刚']",一种离心泵半开式叶轮
"['周佩剑', '颜朝寿', '蒋豪杰', '牟介刚']",一种平面抛光方法
"['吴瑛', '陈玉玲', '邓颖', '吴芳琴', '岳鹏', '刘溢思', '张艳']",基于多元信息融合的健康生活方式指导系统及方法
