,专利名称,发明人,编号,依托机构,所属项目
84,,"['胡超', '陈媛媛']",CN201910512252.5,三峡大学,高拱坝施工缆机安全运行路径实时规划与智能调控
85,,"['胡超', '陈廷才', '周宜红']",202011367234.1,三峡大学,高拱坝施工缆机安全运行路径实时规划与智能调控
86,,"['王煜', '常文娟', '马海波', '严登华', '董鑫', '房昊天']",ZL201911006974.X,三峡大学,区域抗旱自适应能力形成机制与定量评估方法研究
87,,"['郑永秋', '田振男', '薛晨阳', '于永森', '孙鹏', '国旗', '陈坤', '陈晨', '武丽云', '陈佳敏', '韩源']",CN202110174070.9,中北大学,面向航空发动机苛刻环境光纤传感的关键科学问题研究
88,,"['曹秀丽', '高健', '杜文学', '吴倩', '赵梦雅', '张优格', '胡丽晓', '黄诗如']",202010317379.4,浙江水利水电学院,水工混凝土早龄期热膨胀系数的多尺度预测模型
89,,"['王斌', '李建国', '周傲']",201910751033.2,中国科学院武汉岩土力学研究所,降雨诱发土质滑坡大变形破坏机制分析与致灾范围预测
90,,"['闫峰', '宋凡超', '杨振', '李佳豪', '任大睿']",ZL202020312634.1,南昌大学,基于函数型数据分析的鄱阳湖水资源短缺动态综合评价模型研究
91,,"['常文娟', '马海波', '严登华', '肖尚斌', '雷晓辉', '董晓华', '李俊美', '纪道斌', '徐刚', '刘冀', '彭涛', '李英海', '董鑫']",ZL201910048324.5,三峡大学,区域抗旱自适应能力形成机制与定量评估方法研究
92,,"['王剑', '杨婷', '魏涛', '陈瑞', '张发坤']",202010968932.0,江苏大学,地下滴灌多孔出流特性及均匀度数值模型研究
93,,"['章海燕', '罗永龙', '俞庆英', '孙振强', '李雪静']",CN111949896A,安徽师范大学,基于位置服务的地理社交网络模型构建及隐私保护方法研究
94,,"['马海波', '常文娟', '王煜', '严登华', '董鑫', '房昊天']",ZL201911006117.X,三峡大学,区域抗旱自适应能力形成机制与定量评估方法研究
95,,"['曹秀丽', '叶罡', '高健', '杜文学', '陈敏志']",202010317400.0,浙江水利水电学院,水工混凝土早龄期热膨胀系数的多尺度预测模型
96,,"['刘日成', '尹乾', '靖洪文', '蔚立元', '韩观胜', '蒋宇静']",CN202010704155.9,中国矿业大学,基于分形理论的三维岩体裂隙网络非线性渗流机理研究
97,,"['常文娟', '梁忠民', '胡义明', '马海波', '朱士江', '林青霞']",ZL201910032841.3,三峡大学,区域抗旱自适应能力形成机制与定量评估方法研究
98,,"['常文娟', '马海波', '梁忠民', '严登华', '雷晓辉', '王浩', '朱士江', '孙爱华', '郑霞忠', '林青霞', '董鑫']",ZL201910048567.9,三峡大学,区域抗旱自适应能力形成机制与定量评估方法研究
